Marker,Time for Heart,Heart,Time for Pulse,Pulse,Time for Breath,Breath,lean_direction,Start,End,Seconds,Radar Breath Rate
1,0:23,75,0:23,76,1:06,12,left,1:15,1:42,66.0,15.1
2,2:25,77,2:25,80,3:18,12,right,3:28,3:58,198.0,6.7
3,4:50,75,4:50,80,5:27,14,left,5:40,6:10,327.0,8.4
4,6:52,77,6:52,80,7:36,14,right,7:40,8:09,456.0,13.4
5,8:45,73,8:45,76,9:20,10,right,9:26,9:57,560.0,13.4
6,10:29,75,10:29,68,11:12,12,left,11:20,11:51,672.0,13.4
7,12:30,75,12:30,76,13:03,10,right,13:14,13:44,783.0,20.1
8,14:51,72,14:51,76,15:57,14,left,16:11,16:37,957.0,13.4
9,17:04,72,17:04,76,18:06,12,left,18:13,18:43,1086.0,15.1
10,19:05,74,19:05,72,19:45,14,right,19:52,20:22,1185.0,13.4
11,21:19,75,21:19,72,21:55,12,left,22:02,22:32,1315.0,10.0
12,22:56,72,22:56,68,23:34,14,right,23:44,24:14,1414.0,13.4
13,25:00,73,25:00,72,25:37,14,right,25:43,26:13,1537.0,10.0
14,27:45,75,27:45,76,28:27,12,right,28:40,29:09,1707.0,11.7
15,30:00,72,30:00,72,30:40,12,right,30:46,31:16,1840.0,13.4
